name,adsorption
fuwfio_P1_H,4.4652317008
fuwxol_P1_H,3.0266419359
gahseq_P1,2.2616216745
galjag_P1,2.6997506638
gamfae_P1,2.8626434232
gamfei_P1_charged,2.2582200286
gamxav_P1,7.517050428
garluj_P1,1.4609980626
gatjiv_P1_charged,3.8651573462
gaxxag_P1,1.0985713589
gayxem_P1,14.2368372727
gazlaw_P1_H,1.5529874374
gebcat_P1,0.0263487549
geckux_P1_H,1.7899568722
gejjel01_P1,0.7413064682
genlap_P1,0.7775433207
genmeu_P1,4.5401787683
gesfan_P1_H,1.2071960204
gevvub_P1,3.7192947446
gicxoi_P1,0.0
gifjud_P1_charged,2.2273147583
gihvur_P1,2.1545245598
gijbuz_P1,1.1014860636
gilhob01_P1,1.1403948139
gintef_P1,9.45021139
ginyag_P1_H,8.4287616647
ginyio_P1_H,4.9477903256
ginyou_P1_H,6.457479423
ginyua_P1_H,4.3836012802
giryen_P1,0.0136049135
gixvob_P1,6.0570756302
goglia_P1,0.7318488693
gojjib_P1,9.9126706218
gomful_P1,2.872859752
gosdez_P1,4.2918906126
govhil_P1,8.2311601229
gozneq_P1,1.9018859023
gufbug_P1,2.1710019626
gufyue_P1_charged_H,12.3779830394
gulgez_P1,0.8122515604
gumdez_P1,3.1677055758
gunzia_P1,2.6053107762
gupjeg01_P1,0.0
gusmaj_P1,1.4433994618
guvyaa_P1_charged,4.4526708002
guymap_P1,4.4286413375
hadmad01_P1,8.2425065506
hafpub_P1,0.866580867
hanwaw_P1,5.629841543
hapgir_P1,2.216898959
hastay_P1_H,2.326507767
hawwin_P1,1.749366467
hazsil_P1_H,2.2839795744
hebjab_P1,0.0048369486
hecqub_P1,9.1412028761
hefded_P1_H,1.5969698144
hefdon_P1_charged,8.5419268734
heffef_P1_charged,10.2626606297
hegjuz_P1,3.2868734207
henjoc_P1_H,2.5451994936
herhaq_P1,10.4366070892
hermez01_P1,2.4433960377
hescug_P1_H,0.1163729673
hexrio_P1,3.212453595
hibpeq_P1,1.7035271865
hidtum_P1,7.1677147941
hiftog03_P1,11.9881827811
hiqduj03_P1_H,7.1629305364
hiqduj06_P1_H,7.11429522
hisgib_P1,1.1033145943
hisjie_P1,0.8755841069
hivpua_P1,2.30546e-05
hiybun_P1,3.2427222465
hohmib_P1,13.5185199371
hokmur_P1,4.3126116581
hoqcey_P1,3.7982952765
howpoa_P1_charged,3.2928556049
howrui_P1_H,2.1741233403
howsap_P1_H,2.1730762418
hozdor_P1,0.0
hufhex_P1_charged,1.2685128781
hufhoh_P1_charged,3.6636768172
hufjav_P1_charged,1.4618517547
hulgih_P1,0.0
huqgux_P1,7.6117187519
hurfeh_P1,5.0974431222
hurgeh_P1,5.5225069131
huvhox_P1_charged_H,1.801957326
huwmeu_P1_charged,0.8119796662
ibabof01_P1,2.3797255809
ibasel_P1_H,0.9843112863
ibudoz_P1,2.3846345498
icarah_P1,12.616869459
idiwoh03_P1,4.3217716048
idiwoh05_P1,4.2770449211
idoraw_P1_H,2.41567409
idusim01_P1,0.0
idusim_P1,0.0
ifapaj_P1,10.1176589204
ifipev_P1_charged,6.7743413925
igifow_P1,4.4020957001
ijasao_P1_H,2.8924201524
ijomoj04_P1,2.295660259
iketoi01_P1,1.0076479345
ikevaw_P1,0.1183517085
ikovel_P1,4.8731483807
ilimoh_P1,1.8403350457
inecov_P1,3.4757268193
inomij_P1,1.6321260473
ipijey_P1,1.5993936671
irelau_P1,1.5735702268
itipos_P1,5.6063165696
iwosap_P1,0.6734760122
ixejig_P1,4.7393149264
ixejus_P1,7.9118691877
ixurav_P1,2.4053635142
iyajid_P1_charged,3.588775858
iyakie_P1_H,2.8212997301
jadjoq_P1,2.1594600179
jadmaf_P1,0.9036521884
jaxzug_P1,2.8451628752
jempez_P1_charged,4.3263938166
jidxig_P1,1.73665e-05
jismeg_P1,3.9902590488
jixbuq_P1_charged,8.8842165047
jixwuj02_P1,2.2906593284
jiypep_P1,0.8996528792
jizjuz_P1,3.4086126919
jizwas_P1,2.3458334889
jizwog_P1_H,2.888366129
jocgeq_P1,3.4411789024
jokjur_P1,0.0018959394
jolziw02_P1,0.8161510926
jolziw_P1,0.8232099163
jotyup_P1,5.5200699193
joxnan_P1,3.4019006474
jucpab_P1,3.4447018544
jumses_P1,0.2510133642
juskal_P1,0.617338013
jutzeg_P1_charged,17.0745673893
juxsig_P1_charged,2.9658878226
juzxad01_P1_H,0.0062110285
kacziz_P1_H,6.9604350417
kalgah_P1_H,3.6532533703
kamxuu_P1_charged,1.2153890432
kamyab_P1_charged_H,6.9879455869
kancin_P1,2.6372383127
kattor_P1_charged,1.9658131181
kavgaq_P1,3.1252832639
kavnih_P1,3.028635004
kebdig_P1_charged,3.2965702321
kedpeq_P1_charged,1.3881765882
kefbee_P1,8.305416603
kenyag_P1_charged,2.4349159013
kepnax01_P1_charged,1.0946393871
keqder_P1,13.078463311
kesbiu01_P1,2.5706544743
keshat_P1,0.1121006573
kevxuh_P1,4.0515316834
kevyes_P1,4.0979945922
keyfif_P1,0.8624846161
kinfeu_P1,1.4891394015
kipjok_P1_H,1.5077602765
kipkax_P1_H,0.4476904626
kivfay_P1,1.5181051597
